Time	Lead II
4.56	0.0865592
4.57	-0.0793248
4.58	-0.151013
4.59	-0.168493
4.6	-0.108625
4.61	-0.12644
4.62	-0.107829
4.63	-0.0919608
4.64	-0.109318
4.65	-0.0684359
4.66	-0.0935296
4.67	-0.0717806
4.68	-0.0658496
4.69	-0.0902764
4.7	-0.0417532
4.71	-0.0563788
4.72	-0.0310665
4.73	-0.0175263
4.74	-0.0269009
4.75	0.0344906
4.76	0.0286374
4.77	0.0658789
4.78	0.100161
4.79	0.0919542
4.8	0.128158
4.81	0.0864615
4.82	0.0804464
4.83	0.0540089
4.84	0.0106083
4.85	0.0320298
4.86	-0.00725368
4.87	0.00411101
4.88	-0.00118489
4.89	-0.0319734
4.9	-0.00380057
4.91	-0.043333
4.92	-0.0269079
4.93	-0.0116854
4.94	-0.0221737
4.95	0.0207845
4.96	-0.00929358
4.97	0.00203139
4.98	-0.00246011
4.99	-0.021767
5	0.013853
5.01	-0.0214387
5.02	-0.0107045
5.03	-0.000405576
5.04	-0.0144152
5.05	0.0170519
5.06	-0.0185031
5.07	-0.00734593
5.08	-0.0141557
5.09	-0.0422113
5.1	-0.0149017
5.11	-0.0385606
5.12	-0.0115821
5.13	-0.0175672
5.14	-0.0473774
5.15	-0.0172663
5.16	-0.0370173
5.17	-0.000842335
5.18	0.0105262
5.19	0.00355688
5.2	0.0538161
5.21	0.032124
5.22	0.0453964
5.23	0.0170677
5.24	-0.0399887
5.25	-0.0455606
5.26	-0.0975746
5.27	-0.0850656
5.28	-0.0998345
5.29	-0.128103
5.3	-0.0955065
5.31	-0.129414
5.32	-0.0983741
5.33	-0.0468958
5.34	0.0865706
5.35	0.320109
5.36	0.307083
5.37	0.127954
5.38	-0.0852386
5.39	-0.177343
5.4	-0.129126
5.41	-0.065696
5.42	-0.0300743
5.43	-0.0445607
5.44	-0.084988
5.45	-0.0457628
5.46	-0.077912
5.47	-0.0640145
5.48	-0.0534086
5.49	-0.0723478
5.5	-0.0389607
5.51	-0.0603288
5.52	-0.028898
5.53	-0.00740481
